id,degree,price_year,price_total,wtp_score,wtp_raw,gender,region,city_type,income,respondent_status
0,bachelor,105000,420000,0.0,"Ні, це забагато",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
0,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Студент KSE
1,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,127000,508000,0.0,"Ні, це забагато",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
1,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ ,Середнє місто (50–500 тис. населення),"Нижче середнього – вистачає на необхідне, але додаткові витрати даються важко.",Студент KSE
2,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
2,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,м.Київ,Велике місто (понад 500 тис. населення),"Середнє – можемо дозволити собі основні витрати, часом – щось додаткове.",Учень/учениця 11 класу або недавній випускник школи (майбутній абітурієнт на бакалаврат).
